UUID,encoded_size,encoder_hidden_layers,numepochs,avg_recon_loss_tr,final_recon_loss_tr,avg_recon_loss_va,best_recon_loss_va,bestep_recon_loss_va,avg_lin_loss_tr,final_lin_loss_tr,avg_lin_loss_va,best_lin_loss_va,bestep_lin_loss_va,avg_pred_loss_tr,final_pred_loss_tr,avg_pred_loss_va,best_pred_loss_va,bestep_pred_loss_va,avg_total_loss_tr,final_total_loss_tr,avg_total_loss_va,best_total_loss_va,bestep_total_loss_va,avg_recon_anae_tr,final_recon_anae_tr,avg_recon_anae_va,best_recon_anae_va,bestep_recon_anae_va,avg_lin_anae_tr,final_lin_anae_tr,avg_lin_anae_va,best_lin_anae_va,bestep_lin_anae_va,avg_pred_anae_tr,final_pred_anae_tr,avg_pred_anae_va,best_pred_anae_va,bestep_pred_anae_va
hpQNkLkyL9xMB3ftYmdkLi,100,"[300, 200, 100]",200,1.0049115560377688e-05,1.088632780010812e-05,0.0003768124757334,0.0001780304883141,134,6.584759051975198e-07,1.0632860494297347e-06,1.1097730125584348e-05,4.886484020971693e-06,71,9.907040963526017e-06,1.1328256732667796e-05,0.0002817504828271,0.0001537593198008,199,0.0001239395116863,0.0001187858579214,1.768335962879064e-05,9.856122233031783e-06,138,21.26212006568909,17.03512954711914,41.18636125564575,31.722318649291992,199,0.7570607486367226,1.1064914464950562,3.554246609210968,1.339569091796875,71,21.13584260940552,17.39252281188965,40.58302518844605,31.39801406860352,200
YiSGGxferRPbWb4pthxLqw,50,"[300, 200, 100]",300,8.8171517364799e-06,1.7236369558304432e-06,0.0003999518492491,0.000174847577,267,4.963242782451971e-07,9.409543508809292e-07,1.4411858210223728e-05,8.03394868853502e-06,129,8.683494486945165e-06,1.2143116236984497e-06,0.0002963547535546,0.0001206660599564,289,0.0001128661500115,9.541583858663216e-05,2.137492402198404e-05,1.2748221706715412e-05,285,21.632640018463132,11.148205757141112,42.89537350654602,21.827455520629883,288,0.7572311708331108,1.0269229412078855,5.191096891760826,1.1967452764511108,107,21.63121016025543,10.871461868286133,42.41420026779175,21.598892211914062,287
6KVaiXzyayaf5KPp9tRKm9,100,"[200, 200]",400,8.464076725166099e-06,1.206202227876929e-06,0.0003024867296335,0.0001377580047119,284,2.2702839162983922e-07,3.874608012210956e-07,1.5981742571966605e-05,1.227187294716714e-05,333,8.458351547157386e-06,1.6759382788222863e-06,0.000378060992225,0.0001501303631812,361,0.0001129078151279,0.0001040536371874,2.2787219616778506e-05,1.604095086804591e-05,333,18.551962334314982,9.715815544128418,50.91350495656332,23.85009384155273,398,1.4762868388493855,10.051436424255373,17.574563261667887,3.8924872875213614,25,18.416636651357013,9.501683235168455,50.925672702789306,24.109277725219727,398
f9qKxLb6BvnVzrkBKbfNs8,100,"[200, 200]",300,1.871720333383564e-05,4.868018550041597e-06,0.0004697980982746,0.0002226219367003,253,3.314141773103075e-07,4.203777166367218e-07,1.550029971895128e-05,1.1218301551707556e-05,37,1.865756501274518e-05,5.017127477913164e-06,0.0005424388199753,0.0002585320617072,284,0.000112612837147,0.0001026799945975,2.562266871791508e-05,1.934984356921632e-05,292,28.24856502056122,15.247769355773926,52.13574297904968,29.955799102783203,289,4.209281132817268,1.6020715236663818,10.765703926086426,4.496068000793457,33,28.063495836257932,15.14271354675293,51.77997216224671,29.924224853515625,291
eaBwBPajv5NHzXPXsKGhBe,100,"[200, 200]",200,1.882232662410388e-05,5.203050477575744e-06,0.0006138133950298,0.0002890988253057,197,6.400625809988015e-07,6.618223551413394e-07,1.861354754510103e-05,9.729327757668216e-06,37,1.889441279217863e-05,4.921573690808145e-06,0.0005245408188784,0.0002637862053234,197,0.0001157200551824,0.0001164106288342,2.9997089422977298e-05,1.899512790259905e-05,160,31.997325038909917,22.539350509643555,75.74815555572509,35.83412170410156,194,1.422637088894844,1.446657419204712,7.138427929878235,3.693283081054688,161,31.6805357170105,21.693178176879883,76.32916156768799,35.82265090942383,194
