UUID,rank,encoder_hidden_layers,numepochs,avg_recon_loss_tr,final_recon_loss_tr,avg_recon_loss_va,best_recon_loss_va,bestep_recon_loss_va,avg_lin_loss_tr,final_lin_loss_tr,avg_lin_loss_va,best_lin_loss_va,bestep_lin_loss_va,avg_pred_loss_tr,final_pred_loss_tr,avg_pred_loss_va,best_pred_loss_va,bestep_pred_loss_va,avg_total_loss_tr,final_total_loss_tr,avg_total_loss_va,best_total_loss_va,bestep_total_loss_va,avg_recon_anae_tr,final_recon_anae_tr,avg_recon_anae_va,best_recon_anae_va,bestep_recon_anae_va,avg_lin_anae_tr,final_lin_anae_tr,avg_lin_anae_va,best_lin_anae_va,bestep_lin_anae_va,avg_pred_anae_tr,final_pred_anae_tr,avg_pred_anae_va,best_pred_anae_va,bestep_pred_anae_va
CnZUnqCdUoEQUe6uufboMU,4,"[200, 100, 50]",200,0.0001745665157795,0.0001709494245005,0.0039446813100948,0.0036031508352607,190,2.0505524730651814e-07,2.0683778245711442e-07,2.622394572426856e-05,7.668100806768052e-06,52,0.0001782923466817,0.0001744574983604,0.0035854177968576,0.0032206200994551,196,0.0001643260917626,0.0001540695666335,0.0001015249359625,9.028619388118386e-05,177,31.750796184539794,27.27267074584961,97.53635665893556,78.84474182128906,199,0.3147620745003223,0.2754989862442016,3.3610054409503936,1.2091072797775269,105,31.90731735229492,27.181827545166016,98.42320106506348,79.73745727539062,199
CXfk3ortuV4H34GZtwFokj,4,"[100, 100]",200,0.0002682230138452,0.0001917375193443,0.0043835603492334,0.0040014050900936,169,3.652603909642949e-07,3.214228456727142e-07,3.441436956563848e-05,9.156558917311486e-06,60,0.0002744922587589,0.0001958114735316,0.0040363209950737,0.0036540967412292,177,0.0001654410136688,0.0001585272402735,0.0001186131812573,9.821061394177376e-05,200,56.84036052703858,39.15591049194336,106.25158378601074,77.0777816772461,198,0.6509401744604111,0.547409176826477,6.307025582790375,2.435451030731201,73,56.92176670074463,39.188026428222656,106.96954010009766,77.75218200683594,198
TYFa8RS67ruDfYWMJdQGDo,6,"[100, 100]",200,0.0002608258662803,0.0001820984907681,0.0044451963668689,0.0040040533058345,197,2.0066756491132766e-07,1.9724528499409646e-07,3.3950989090953955e-05,4.218941739964066e-06,54,0.0002619478058477,0.0001829495740821,0.0042994130309671,0.0038397319149225,177,0.000122268605628,0.0001101410525734,0.000121397081748,0.0001034823362715,151,62.557510452270506,40.88792037963867,118.56334007263185,90.30430603027344,200,0.4293117219209671,0.4411520957946777,5.0740692734718325,1.8079301118850708,47,62.55653217315674,40.88950347900391,118.90943885803225,90.5967254638672,200
AtKrYVSMoD4Sb5HKxUm6tV,6,"[100, 100]",300,0.0003323962155263,0.0001804105268092,0.0050279210950247,0.0037880770396441,279,2.2350460234576986e-07,2.1266585292778478e-07,7.300151124582043e-05,5.067558504379122e-06,47,0.0003335805620008,0.0001814624702092,0.0052054740535095,0.0037973162252455,279,0.0001455688675923,0.0001163293927675,0.0001753354606626,0.0001257317489944,227,53.63372065544129,30.89129638671875,184.69991756439208,103.01190948486328,300,1.3717107713222505,1.0575425624847412,22.204572653770448,3.642102241516113,61,53.63643780708313,30.935577392578125,184.402278175354,102.8671417236328,300
XsJXrJkS3KisaHfGYPyTef,6,"[200, 100, 50]",200,0.0005384721510927,0.0001851463166531,0.0065298045240342,0.0043161595240235,197,3.7132626093949744e-08,4.421142207888806e-08,6.460162151938675e-05,1.2174771200079704e-06,92,0.0005386585857195,0.0001860025076894,0.0066269233170896,0.0044972766190767,194,0.000126361987277,0.0001124092086683,0.0001961688963638,0.0001278606068808,126,45.044236488342285,26.96641731262207,70.94578853607177,55.16542053222656,157,0.2525902825593948,0.2501965463161468,10.689378688335418,1.154466986656189,92,45.05463174819946,26.91377639770508,70.71427947998046,54.81719207763672,158
YsK4UnnK9LB3axZfUYi9Tu,6,"[200, 100, 50]",300,0.0002071405621973,0.0001685760071268,0.0042056797060649,0.0033852618653327,295,7.79253159066684e-08,5.8796924662374295e-08,0.0001324314059456,2.1638413727487205e-06,71,0.0002075542302918,0.0001681347930571,0.0042138483107555,0.0034029113594442,300,0.0001268257135598,0.0001060365393641,0.0002166266838321,0.0001299525611102,121,33.47252715110779,25.0223331451416,61.7865788269043,49.26250457763672,190,0.3799235177785158,0.3191208243370056,10.704992609024048,2.19698429107666,73,33.47070565223694,25.06232261657715,61.71085836410523,49.18915557861328,190
3TQ9TdBQdd8jTmRRvLwf8t,4,"[200, 100, 50]",300,0.0002037564682541,0.000162645286764,0.0044596986589021,0.0035758160520344,298,9.264359547955793e-08,6.77133229487481e-08,0.000133553832984,1.291109492740361e-05,78,0.000205695210825,0.0001648573816055,0.0044127006211783,0.0034682068508118,300,0.000156665816612,0.0001484925596741,0.0002222778239956,0.0001536203053547,111,31.59241943359375,24.441633224487305,54.90301181793213,46.45698547363281,170,0.4488823056966066,0.8407806754112244,15.496802222728729,4.272858142852783,66,31.681180810928343,24.54228782653809,55.14070348739624,46.74171829223633,170
6G7DaVmgShvtVRDLFATh43,4,"[100, 100]",300,0.0016010665291105,0.0002214691630797,0.0129297003266401,0.0046023312024772,298,1.798177796807465e-05,1.6303351912938527e-07,7.282226305733275e-05,2.905095470850938e-06,99,0.0016272805758489,0.0002278735628351,0.0131666878028772,0.004586033988744,299,0.0002157407279446,0.0001542913960292,0.0003337861371983,0.0001675318344496,298,74.12951448440552,30.196014404296875,112.49397819519044,60.336238861083984,300,5.422613514363766,0.7152586579322815,27.44756166934967,3.2452101707458496,51,74.66663220405579,30.397869110107425,112.65205360412598,60.5031623840332,300
