UUID,encoded_size,encoder_hidden_layers,numepochs,avg_recon_loss_tr,final_recon_loss_tr,avg_recon_loss_va,best_recon_loss_va,bestep_recon_loss_va,avg_lin_loss_tr,final_lin_loss_tr,avg_lin_loss_va,best_lin_loss_va,bestep_lin_loss_va,avg_pred_loss_tr,final_pred_loss_tr,avg_pred_loss_va,best_pred_loss_va,bestep_pred_loss_va,avg_total_loss_tr,final_total_loss_tr,avg_total_loss_va,best_total_loss_va,bestep_total_loss_va,avg_recon_anae_tr,final_recon_anae_tr,avg_recon_anae_va,best_recon_anae_va,bestep_recon_anae_va,avg_lin_anae_tr,final_lin_anae_tr,avg_lin_anae_va,best_lin_anae_va,bestep_lin_anae_va,avg_pred_anae_tr,final_pred_anae_tr,avg_pred_anae_va,best_pred_anae_va,bestep_pred_anae_va
jnFy2xEJkn7J57WJjnBoeE,100,"[300, 200, 100]",400,0.0006623232972981,6.8315921453177e-07,0.0034069922888375,0.0001352036633761,322,7.662036060429144e-05,1.3707715424970957e-06,8.31457585144335e-05,2.392082251390093e-06,150,0.0006621774762496,2.996155444634496e-06,0.0033610181879157,0.0001138269508373,322,0.0002115599978787,0.0001007042301353,0.0001508258613364,7.118994290067349e-06,221,49.18174952030182,7.377682685852051,76.87229364395142,17.29192352294922,350,3.213050644621253,1.3078206777572632,7.09682412981987,1.0334434509277344,87,49.1026827275753,8.744789123535156,78.04621602535248,18.098024368286133,356
hf988EGYmkY3EbWLXmohdp,50,"[300, 200, 100]",400,0.0006846573505738,1.1906533927685814e-06,0.003589236691514,0.0001599676033947,348,8.654003825825818e-05,6.441096616072173e-07,9.22767920815204e-05,2.768792683127685e-06,79,0.0006827045733973,5.969963012830704e-07,0.0035249492821094,0.0001200256083393,348,0.0002276044043719,9.653512097429484e-05,0.0001634186505179,7.697351065871771e-06,333,55.7121027481556,7.90582799911499,102.03383316993714,21.735809326171875,391,4.95693261668086,19.861970901489254,10.353928245007992,1.1905452013015747,74,55.83375051856041,7.745581150054932,103.0122940158844,23.051122665405277,391
7DBY9yCvbEwHrNmr9AoL9k,100,"[200, 200]",400,0.0007805658556473,9.123872928284982e-07,0.003476304384676,0.0001350976381218,380,3.643232169775245e-05,1.6485129208376748e-06,5.273207452319184e-05,9.733303159009664e-06,32,0.000779530932443,1.7565591861057328e-06,0.0034118727699569,8.63314708112739e-05,385,0.0001753463908244,9.9158743978478e-05,0.0001216138436893,1.5809557226020843e-05,381,66.16813301086425,11.59620189666748,112.6300241947174,23.208162307739254,369,3.2101098714768885,1.3205931186676023,12.178428721427917,2.085934400558472,121,65.87638134241104,11.496212005615234,113.1724436235428,26.81293487548828,368
8WYzHjuRf4Y2DCJVHu6CUE,50,"[200, 200]",400,0.0009320002308595,5.4879892559256405e-06,0.0047795561153907,0.0004448379040695,371,5.687487725939633e-05,5.376375611376716e-07,0.000119536065049,6.935425062692957e-06,40,0.000965752806544,6.3702286752231885e-06,0.0049717250814137,0.0004074582830071,152,0.0002085471754071,0.0001017462273011,0.0002170488718365,2.1743391698691997e-05,146,72.3896031999588,19.20779800415039,112.68859370231628,33.13507843017578,400,9.26646894708276,5.4364094734191895,35.50168796241283,2.204152107238769,78,72.70321453094482,19.305519104003903,114.89274930477144,31.42043876647949,396
X522xZGQv2HiAYJnWiKPhk,100,"[300, 200, 100]",300,0.0009897405702086,1.0651675665940274e-06,0.0050756136292329,9.910493827192111e-05,287,0.0001604923720177,2.069192390763419e-07,0.0001692166405321,2.354842763452325e-06,153,0.0009904637364441,1.0485626944500837e-06,0.005071234365896,8.028487354749814e-05,287,0.0003148972501609,0.0001085529875126,0.0002706851189517,5.469093139254255e-06,293,61.793368487358094,7.708928108215332,123.73926087061564,25.70886993408203,292,4.594641630351544,0.7399439215660095,29.71709093173345,1.661545991897583,207,61.990226763089495,7.649416446685791,123.5862236213684,26.376110076904297,292
W549mYDrwssTZzxd66ayS4,50,"[300, 200, 100]",300,0.001008426096449,3.1261381536751287e-06,0.0055440986409666,0.0002782074152491,274,5.2172195878353496e-05,3.683224178985256e-07,6.477744399489893e-05,4.019030257040868e-06,212,0.0010086864902124,1.5373900623671943e-06,0.0054399366048649,0.0001967547868844,274,0.0002047954088144,9.749407035997136e-05,0.000174617795983,9.826857422012836e-06,274,65.61694814999898,10.425095558166504,125.68753437042236,29.899341583251957,288,3.245654433021943,0.7886859774589539,17.093329306840896,1.3790371417999268,137,65.60178334236144,9.741705894470217,125.93282295862834,30.363571166992188,288
DjGdDi7W49csgWhmAbFquD,100,"[200, 200]",300,0.0011246304041545,1.288227485929383e-05,0.0056522687263592,0.0003817862598225,299,8.131167566214496e-05,6.962255270082096e-07,0.000137929824823,1.145028909377288e-05,36,0.0011446955843515,1.923233867273666e-05,0.0058950023762493,0.0007138514774851,299,0.0002349308252936,0.0001095608895411,0.0002534025359636,4.059910861542448e-05,88,96.61601849238076,22.119638442993164,144.3923422495524,36.15837860107422,207,8.077428796688716,6.767650604248047,42.05464078505834,2.216914176940918,85,96.71440827687582,23.684886932373047,143.6337180074056,33.752071380615234,206
CA89Gdv3GUhYqaiV4mRNnW,50,"[300, 200, 100]",200,0.0013932811995277,2.2826818621979328e-06,0.0071645025383622,0.0002477497910149,154,0.0002451489408468,4.4569193846655253e-07,0.0002447342921345,6.573627160832984e-06,132,0.001394938629084,2.675449195521651e-06,0.0071161573193967,0.0001731178490445,157,0.0004161919721809,0.0001023666191031,0.0003875408869362,1.3634145034302492e-05,154,92.29459738731384,12.077946662902832,145.4260143470764,33.15266799926758,200,7.040721749961376,1.878383755683899,21.883381283283235,1.3647594451904297,67,92.35707030773165,12.23798942565918,146.6675898361206,33.52082061767578,200
HG9aQSZxsuPrNfLwJrAeNF,100,"[300, 200, 100]",200,0.0013956477003785,1.678960074968927e-06,0.006861355893925,0.000217243010411,199,0.0001738076400526,3.7196258517724345e-07,0.0001830658540347,4.478657956497045e-06,178,0.0013956302070056,1.7361038544549956e-06,0.0067913818339729,0.0001259296986972,199,0.0003380283657679,0.00010757119162,0.0003195932281823,9.074001354747452e-06,178,86.8305648803711,11.502995491027832,148.81913126945494,21.774789810180664,189,5.635093055069446,0.5563539862632751,12.895878952145576,1.3571950197219849,99,87.15097446918487,11.498750686645508,149.7391647529602,22.095258712768555,189
bj8rHjrKTSh6ucX9ZSe6Tz,100,"[200, 200]",200,0.0015528435275678,5.1918518693128135e-06,0.0072104525842587,0.0002780244103632,186,3.915744320515557e-05,7.553715590802312e-07,5.111356242878173e-05,7.130359335860703e-06,33,0.0015538598258308,5.0316471060796175e-06,0.0071284753114014,0.0001826013904064,186,0.0001993016870983,0.0001040108763845,0.0001945028353338,1.4974328223615885e-05,193,114.35703545570374,20.901329040527344,149.68780864715575,43.36030578613281,200,4.372335523366928,0.9516960978507996,15.026154329776764,2.647733449935913,172,114.4263641357422,20.36068725585937,149.9972719192505,34.38535690307617,199
