UUID,rank,encoder_hidden_layers,numepochs,avg_recon_loss_tr,final_recon_loss_tr,avg_recon_loss_va,best_recon_loss_va,bestep_recon_loss_va,avg_lin_loss_tr,final_lin_loss_tr,avg_lin_loss_va,best_lin_loss_va,bestep_lin_loss_va,avg_pred_loss_tr,final_pred_loss_tr,avg_pred_loss_va,best_pred_loss_va,bestep_pred_loss_va,avg_total_loss_tr,final_total_loss_tr,avg_total_loss_va,best_total_loss_va,bestep_total_loss_va,avg_recon_anae_tr,final_recon_anae_tr,avg_recon_anae_va,best_recon_anae_va,bestep_recon_anae_va,avg_lin_anae_tr,final_lin_anae_tr,avg_lin_anae_va,best_lin_anae_va,bestep_lin_anae_va,avg_pred_anae_tr,final_pred_anae_tr,avg_pred_anae_va,best_pred_anae_va,bestep_pred_anae_va
32Nmh7kCVhABBzKDr6vBKx,6,"[200, 100, 50]",200,0.0001880004923441,0.0001666939642746,0.0039562062732875,0.0034966683015227,186,1.5566165231462037e-07,1.628508954354402e-07,2.129615779267624e-05,4.667640496336389e-06,85,0.0001886515133082,0.0001675678940955,0.0036513456935063,0.0031810177024453,186,0.0001295586308697,0.0001302404416492,9.737167558341752e-05,8.910413453122601e-05,192,37.06265562057495,29.916318893432617,60.4389949798584,51.417964935302734,196,0.4228684842586517,0.3665346503257751,7.684608182907104,1.3659191131591797,94,37.053063278198245,29.908430099487305,61.08603122711182,51.9144172668457,177
heN5sJ88d3HBXWugmPct93,6,"[100, 100]",200,0.000391657068103,0.0001920424983836,0.0048818537243641,0.0037040675524622,197,1.4642957665955694e-07,1.5570647349250066e-07,2.245709652925143e-05,6.199568815645762e-06,68,0.000392670520232,0.0001918604102684,0.004633552879095,0.0034553913865238,186,0.0001308801672712,0.0001198170357383,0.0001176111598033,9.179464541375636e-05,159,88.22401657104493,49.05244827270508,209.2167632293701,118.54428100585938,200,0.4475899404287338,0.4306985437870025,8.424545722007752,1.5231573581695557,101,88.19614887237549,49.074485778808594,209.8217533874512,119.10773468017578,200
dduKEkGqWx5dYax36QWHpD,4,"[200, 100, 50]",300,0.0001878570638655,0.0001605101278983,0.0036322366876993,0.003052933840081,300,1.4539981830097306e-07,6.793597151499854e-08,6.994719446083764e-05,2.4588707674411125e-05,63,0.0001902012951904,0.0001617647212697,0.0033823710645083,0.0027300014626234,285,0.0001643699291162,0.0001530261215521,0.0001400932706019,9.476731065660716e-05,279,31.315823850631716,23.878887176513672,66.95298084259034,54.49895095825195,299,0.4223368269205093,0.416726678609848,29.824085671901702,4.087115287780762,59,31.41289267539978,23.89926147460937,67.6251573562622,55.29662322998047,299
UkiyaQJPTjcaJ8gZ2Unipn,4,"[200, 100, 50]",200,0.0003192718866921,0.0001813603885238,0.0051147341448813,0.0039623570628464,185,8.445690047764743e-08,1.2553006456528237e-07,4.0859664613890347e-05,4.158981937507633e-06,65,0.0003210376073548,0.0001845393853727,0.0048684894270263,0.0037168350536376,185,0.0001914550655055,0.0001831360714277,0.0001406918979773,0.000103250684333,121,50.66302251815796,31.114521026611328,83.0761759185791,57.92712020874024,195,0.5792888554930687,0.6563494205474854,7.941386198997497,2.114287614822388,75,50.60469463348389,31.146785736083984,83.38803993225098,58.296836853027344,195
BhmsbPXrJxuzVnC8Q7BUpK,4,"[100, 100]",200,0.0003366505369194,0.0002039248356595,0.0046956255938857,0.0039676511660218,200,2.90559966060755e-07,2.178682763087636e-07,0.0001190010740174,3.0341989258886315e-05,74,0.0003401381603907,0.0002080304984701,0.0043093222682364,0.0036089397035539,200,0.000196697878564,0.0001830730470828,0.0002090505503292,0.000186787743587,132,53.987336044311526,38.03306198120117,141.30768585205078,78.95763397216797,200,1.6338186967372894,1.9510418176651,15.553436794281003,7.586392879486084,64,53.88711170196533,37.98006057739258,142.3801530456543,79.85519409179688,200
