UUID,rank,encoder_hidden_layers,numepochs,avg_recon_loss_tr,final_recon_loss_tr,avg_recon_loss_va,best_recon_loss_va,bestep_recon_loss_va,avg_lin_loss_tr,final_lin_loss_tr,avg_lin_loss_va,best_lin_loss_va,bestep_lin_loss_va,avg_pred_loss_tr,final_pred_loss_tr,avg_pred_loss_va,best_pred_loss_va,bestep_pred_loss_va,avg_total_loss_tr,final_total_loss_tr,avg_total_loss_va,best_total_loss_va,bestep_total_loss_va,avg_recon_anae_tr,final_recon_anae_tr,avg_recon_anae_va,best_recon_anae_va,bestep_recon_anae_va,avg_lin_anae_tr,final_lin_anae_tr,avg_lin_anae_va,best_lin_anae_va,bestep_lin_anae_va,avg_pred_anae_tr,final_pred_anae_tr,avg_pred_anae_va,best_pred_anae_va,bestep_pred_anae_va
RjoHq8UdW3nrGLVM7ypCwT,4,"[100, 100]",200,0.0031367566769768,0.0001886183599708,0.0166155341104604,0.0036282001528888,195,0.0001713999423798,2.355198631676103e-07,0.000183150212938,8.408439498452935e-06,52,0.003140148025559,0.0001926012191688,0.0163825620221905,0.0032773134298622,196,0.0004184287250973,0.0001540104422019,0.0005131311677178,0.000109127133328,160,170.0309369087219,41.08143615722656,367.8391588592529,132.48037719726562,200,5.749075295776128,0.4479960203170776,12.580232388973236,1.5956802368164062,61,170.35914180755614,41.13780975341797,369.38449966430665,133.5231475830078,200
2i5bqBnxRqbbBTQxTHv52L,4,"[100, 100]",300,0.0027473329523248,0.0001898739428725,0.0164423084041724,0.003931741695851,299,0.0001401039195871,3.292684027655924e-07,0.0001917225264878,1.2276745110284535e-05,97,0.0027605033074117,0.0001980267261387,0.0163407757040113,0.0036443376448005,295,0.0003803257920177,0.0001560792297823,0.0005195533649627,0.0001339260488748,201,129.08411638895672,32.31719970703125,190.09116850535077,63.83883285522461,300,6.168932552337647,0.9295178651809692,32.9963547650973,2.9908576011657715,35,129.92664998372396,32.68400573730469,188.648687693278,64.50498962402344,297
LEDBapbdDM3tEYbK2ewKgx,6,"[100, 100]",300,0.0021528732775671,0.0001599022798473,0.0125882013739707,0.0031562580261379,300,0.000140833952249,1.757112642053471e-07,0.0003155636695585,9.177446372632405e-06,78,0.0021775088408321,0.0001613692002138,0.0130227787233889,0.0033087457995861,300,0.0003573691144022,0.000130544649437,0.0005716734662322,0.0001789803063729,223,103.58518507639567,28.345703125,205.30281410217285,51.39691925048828,299,19.24270694732666,1.7501300573349,66.42649955908458,4.598801136016846,35,104.3431269900004,28.30449676513672,203.41906368255616,50.92765808105469,298
UWFcU3QYqPW3M5DtEWUnRX,4,"[200, 100, 50]",300,0.0020657299082085,0.0001673943042987,0.0134495465271174,0.0034392701927572,297,0.0002462944500668,5.4662166348862236e-08,0.0003384792130699,3.5639966426970204e-06,75,0.0020675884130954,0.0001691658690106,0.0134243117893735,0.0032499004155397,297,0.0004626054530672,0.0001607650483492,0.0006072177888806,0.0001128932854044,117,73.21544727961222,24.828248977661133,125.54555862426758,53.21506881713867,294,4.595422443399826,0.1886141896247863,18.033944006760915,1.376638650894165,75,73.10024583180746,24.76378059387207,125.52361272176108,53.717071533203125,294
KzEqFfihqt86dAN2itm8sT,6,"[100, 100]",200,0.003298483448525,0.0001817381562432,0.0173208156600594,0.0038515739142894,200,0.0002228544373888,2.0357370544843437e-07,0.0003006210848616,9.110329301620368e-06,59,0.0033018526542582,0.0001834002323448,0.017325999548193,0.0038095379713922,200,0.0004319261875934,0.000106222978502,0.0006470892288052,0.0002049070608336,121,162.27158939361573,37.74858474731445,259.38799785614015,72.82616424560547,200,7.635711946338415,0.8339449763298035,26.515012193918228,3.888892412185669,61,164.1181827545166,37.7300033569336,261.344573135376,72.9078140258789,200
GqyNSPjMUTiV65wRe3BMb3,4,"[100, 100]",100,0.0061006013851147,0.0012560626491904,0.0296092812996357,0.0102936830371618,100,0.0001372929314204,3.331416849050584e-07,0.0001382729146007,8.620797416369896e-06,32,0.0061033823958132,0.0012737301876768,0.0296000033430755,0.0102616799995303,100,0.0004535379828303,0.0001999119267566,0.0007303657507873,0.0002409257867839,100,268.0556883239746,156.71160888671875,406.7568426513672,214.45736694335935,55,9.127913903594017,0.8799328207969666,40.5362361907959,4.116151332855225,32,268.76923233032227,156.52243041992188,412.9235510253906,214.694091796875,55
Fm8EnzZGQHxZfT3i6UK9L5,6,"[200, 100, 50]",300,0.0017474189088776,0.0001665544405113,0.0115360019518993,0.0034685945138335,291,0.0003898064841939,1.0312286491398481e-07,0.0005337039859781,8.921520930016413e-05,79,0.0017519957597445,0.0001674045779509,0.011623788732104,0.0033781623933464,297,0.0005836588239374,0.000106799932837,0.0007653018904481,0.000186533521628,202,76.10785809834798,24.56418800354004,129.10691497802733,48.298789978027344,182,6.870666540563106,0.6429771780967712,24.568308219909667,11.992143630981444,70,76.57272608439128,24.55249786376953,129.20099839528402,48.21922302246094,182
4F6aSdBKyJnEtkrPM32iCE,6,"[200, 100, 50]",200,0.002881011920399,0.0002680008183233,0.0176358212786726,0.0043204738758504,145,0.0003918293623479,6.970747534751355e-08,0.0004722103191306,3.192960321030114e-06,65,0.0029420226012734,0.0002671966212801,0.0180523618333973,0.0041691665537655,143,0.0006416198411898,0.0001658893597777,0.0008290921483421,8.969596092356369e-05,145,106.98286777496338,31.564950942993164,162.79026998519896,63.01112747192383,196,6.53604361474514,0.9336774349212646,18.579364692568777,1.4813319444656372,144,106.67528771400453,31.45577049255371,162.7251314163208,62.7916145324707,196
nKEB2xYLG2wUhFi4qZ2hPu,6,"[100, 100]",100,0.0058632955618668,0.0008461342658847,0.0273332329839468,0.008081529289484,100,0.0004411224163678,3.137869271085947e-07,0.0004411334866563,5.909766514378134e-06,68,0.0058685167983639,0.0008492353954352,0.0273668637219816,0.0081418361514806,100,0.0007301854046818,0.0001777156139723,0.000988134433137,0.0001706043403828,100,245.06322570800785,125.94015502929688,397.3112489318848,211.61981201171875,100,11.22206030547619,0.6782006621360779,26.31227613449097,2.4119772911071777,65,246.10533622741696,125.95130157470705,393.2372482299805,211.41896057128903,100
AoW6zDBkTBAMMEQYa6CbJk,4,"[200, 100, 50]",200,0.0032469413306534,0.0002062815474346,0.0199849103041924,0.0050106132403016,183,0.0007043095548343,9.017210800266184e-08,0.0007974953867943,1.7492717461209395e-06,86,0.0032509040473087,0.000209064775845,0.0199679092178121,0.0047274753451347,184,0.0009951102032937,0.0001784824562491,0.0011970235786793,0.0001096385749406,178,110.6625315284729,27.60912132263184,154.31792001724244,55.28435516357422,193,8.867507536411285,0.3602156043052673,18.778859040737157,1.9501961469650269,82,110.61010926246644,27.640871047973636,155.04794883728027,55.65329360961914,193
